id,title,description,provider,delivery_mode,cost_gbp,cost_category,duration,duration_category,access,education_outcome,target_audience,category,sub_theme,url,asset_category,review_status,image_url
54,Professional Certificate in Social Change in Coaching,"Understand the principles of social change and how coaching can be used as a tool for driving positive outcomes
Develop coaching strategies that are tailored to the unique needs of diverse populations and communities
Apply ethical and culturally sensitive coaching practices to promote inclusivity and equity
Evaluate the impact of coaching interventions on social change initiatives
Course structure:
• Introduction to Social Change Coaching
• The Role of the Coach in Social Change
• Understanding Power Dynamics
• Intersectionality and Social Change
• Building Resilience in Social Change Work
• Advocacy and Activism in Coaching
• Ethical Considerations in Social Change Coaching
• Creating Inclusive and Equitable Spaces
• Trauma-Informed Coaching Practices
• Measuring Impact and Success in Social Change Coaching",Leadership School of Business and Administration (LSBA),Online,90,Paid,NA,Less than a year,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Coaching""]",https://lsba.org.uk/Home/CourseDetail?courseId=58733,"[""Course""]",Approved,
55,Professional certificate in core capabilities in clinical practice for adult gender identity healthcare,"Professional certificate in core capabilities in clinical practice for adult gender identity healthcare

Learners who complete this certificate will be able to take a history, provide basic information and describe
the care process. They will learn to facilitate and monitor an individual’s progress whilst working effectively
with a multidisciplinary team (MDT). They will cover professional standards, good governance, and relevant
legislation.",Royal College of Physicians,Online,2000,Paid,3-12 months,Less than a year,Register on website,RCP Professional Certificate,"[""Allied Health Professionals"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Health Inclusion Groups""]","[""LGBTQ+"", ""Trans""]",https://www.rcp.ac.uk/media/rlpfuqip/gih-core-capabilities-certificate-information.pdf,"[""Course""]",Approved,
56,Principles and Concepts of Health Coaching,"This course offers practical, actionable understanding of how to support others in as part of health coaching. By the end of the course, you will have gained knowledge and understanding of:

The approaches to health coaching
The mindset, knowledge, skills and techniques required to use a health coaching approach when working with individuals
The requirements for data protection in health coaching roles
The requirements for duty of care in health coaching roles
How and why the impact of health coaching services are monitored, evaluated and reported",Royal Society for Public Health,Online,64,Paid,variable,Various,Register on website,CPD Credits,"[""All""]","[""Health Promotion""]","[""Health Coaching""]",https://www.rsph.org.uk/qualifications-training/online-courses/principles-and-concepts-of-health-coaching/,"[""Course""]",Approved,
57,Person centered cultures: A Development programme,"The programme will be underpinned by the Person-centred Practice Framework (PCPF) (McCormack and McCance, 2020) and informed by FoNS’s extensive expertise in culture change in health and social care.

Develop skills as facilitative leaders of culture change
Explore and enable the use of effective strategies for creating person-centred workplace cultures
Promote continuous improvement",Foundation of Nursing Studies,Online or Face to Face,0,TBC,12 months,1 Year,Register on website,Alumini of fellowship,"[""Nursing and Midwifery""]","[""Culture""]","[""Person Centred Care""]",https://www.fons.org/programmes-development-opportunities/person-centred-cultures-programme/,"[""Course""]",Approved,
58,Pain medication – A true picture,"Aim:
Gain a better understanding of current issues around painkilling medication, including over-the-counter painkillers.
Objectives:
Understand how a dependency can be formed whilst using this type of drug
Look at the legalities and statistics around drug deaths involving painkilling medication.
Gain knowledge on seeking support around depressant dependency by using trauma-informed interventions.
Understand the harm reduction information.",Forward Leeds,Face to Face,0,Free,0,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Illicit Drugs""]",https://www.forwardleeds.co.uk/get-help/training/pain-medication-a-true-picture/,"[""Course""]",Approved,
59,"Oral health promotion of children, young people and adults","If you are part of service or group that has direct contact with the public, this free training will help you to promote effective oral health care for children and adult groups.
Oral Health promotion is delivered by the Oral Health Promotion team of Leeds Community Healthcare.",Leeds Community Healthcare,Online or Face to Face,0,Free,TBC,Less than a day,Book Via Email,Not Applicable,"[""All""]","[""Health Protection""]","[""Child Oral Health""]",https://www.leeds.gov.uk/phrc/public-health-training/public-health-training-for-people-working-in-leeds,"[""Course""]",Approved,
60,Oliver McGowan - Tier 1,"Oliver McGowan - Tier 1
Helps staff understand the care that autistic people and people with a learning disability need.",Leeds Health and Care Academy,Online,0,Free,60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Autism and Learning Disabilities""]","[""0""]",https://leedshealthandcarelearningportal.org/course/search.php?search=Oliver,"[""Course""]",Approved,
61,Non-Fatal Strangulation and Suffocation,"Includes:
- What is Non-fatal Strangulation &amp; suffocation (NFS)?
- Prevalence of NFS
- Seriousness of NFS; why professionals need to be aware of the new legislation around this
- Signs &amp; symptoms of NFS
- Potential impacts – immediate &amp; longer-term
- Impact on children witnessing NFS
- Legality and consent issues; increased normalisation, myth busting, and safety
- Advice for non-clinical professionals",Behind Closed Doors,Online,200,Paid,90 mins,Less than a day,Book Via Email,Introductory,"[""All""]","[""Domestic Abuse"", ""Safeguarding""]","[""Non-fatal strangulation and suffocation""]",https://behind-closed-doors.org.uk/training/domestic-abuse-training/,"[""Course""]",Approved,
62,New and Emerging Psychoactive Substances,"Aim:
To increase confidence, skills and knowledge in aspects of new psychoactive substances and emerging drugs.
Objectives:

To look at the effects, risks, and impact of Synthetic Cannabinoid Receptor Agonists (Spice)
An overview of Nitrous Oxide
New emerging trends/risks/concerns
Harm Reduction Messages
To increase awareness of the types of support that individuals and their families can access in Leeds.",Forward Leeds,Face to Face,0,Free,3 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs"", ""Illicit Drugs""]",https://www.forwardleeds.co.uk/get-help/training/novel-psychoactive-substances/,"[""Course""]",Approved,
63,Neurodiversity: An Introduction,"This training will give a better understanding of:

The meaning of the term ‘neurodiversity’, the various ways that it can impact on people, and an overview of the main associated conditions or differences.
Whether neurodivergence is a disability and the role that external factors play.
The importance of creating reasonable adjustment plans and management performance strategies for neurodivergent thinkers.
The need to support carers of neurodivergent thinkers in the workplace.",Leeds Health and Care Academy,Online,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Workforce""]","[""Inclusion""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=36,"[""Course""]",Approved,
64,Narrowing health inequalities in sickle cell disease,"This sickle cell disease session will help you to understand the importance of health inequalities in clinical practice. By the end of the course you should be able to recognise the causes of health inequalities in services for, experiences of, or outcomes among, patients with sickle cell disease. You will then be more able to apply quality improvement methodology to tackle health inequalities in sickle cell disease.",Learning Hub,Online,0,Free,30 minutes,Less than an hour,TBD,Certificate of completion,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Sickle Cell""]",https://learninghub.nhs.uk/Resource/54522/Item,"[""Course""]",Approved,
65,Modern slavery: First Responders,"As a First Responder you are from an organisation authorised to refer potential victims of modern slavery into the National Referral Mechanism (NRM). Your role is to identify and refer potential victims of modern slavery into support, where appropriate. Doing so will often be challenging and you may have to deal with complex situations.
This programme provides guidance on how to spot the signs of modern slavery, and what to do when you come across a potential victim of modern slavery. This programme aims to give you confidence to follow procedures swiftly and with compassion.",HM Home Office,Online or Face to Face,0,Free,45 mins,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Modern Slavery""]",https://services.devon-cornwall.police.uk/firstrespondertraining/,"[""Course""]",Approved,
66,Modern slavery and human trafficking,"This course gives an overview of modern slavery and human trafficking (MSHT). The training focuses on understanding the legislative framework, with survivors at the centre.
You’ll learn about the impact of legislation, survivor perspectives, and how being culturally competent and responsive to trauma can make a difference.",Shelter,Online,160,Paid,One dauy,Less than a day,Register on website,CPD Credits,"[""All""]","[""Health Inclusion Groups""]","[""Modern Slavery""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/modern_slavery_human_trafficking_course,"[""Course""]",Approved,
67,Migration (various),"Migration Yorkshire provides leadership and coordination, evidence, and practical assistance to organisations from all sectors at local, regional and national level. We believe in improving understanding, supporting the integration of migrants and maximising opportunities for all to create a more equal and enriched society.
Migration Yorkshire is a partnership of councils working across the whole of the Yorkshire and Humber region and is based in Leeds.",Migration Yorkshire,Online or Face to Face,0,Various,various,Various,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Asylum Seekers"", ""Refugees""]",https://www.migrationyorkshire.org.uk/migration-support/training,"[""Course""]",Approved,
68,Mental Health for Managers,"This course is designed to transform how managers approach mental health in the workplace. Designed for people leaders, it provides the knowledge and tools needed to respond to stress and poor mental health at work with confidence, empathy, and professionalism.
Delegates will learn how to navigate these challenges while staying aligned with current legislation, to ensure their teams feel supported, safe, and empowered.",Mental Health UK,Online or Face to Face,0,Various,Remote: 3.5 hours or in person: 4 hours,Less than a day,Register on website,0,"[""Manager"", ""Line Manager"", ""Team Leaders""]","[""Mental Health Conditions""]","[""Fundamental Knowledge""]",https://mentalhealth-uk.org/workplace-mental-health-training-and-consultancy/,"[""Course""]",Approved,
69,Mental Health First Aid (MHFA),"Mental Health First Aid is designed and accredited by Mental Health First Aid England (MHFAE), who also train and quality-assure their trainers.

We work with MHFA trainers to provide this training in various versions and formats, including both the Adult and Youth versions.

Example content:


Recognising people experiencing poor mental health
Providing first-level support and early intervention
Encouraging people to identify and access sources of professional help and other support
Boundaries and confidentiality
Self-care",Mental Health UK,Online or Face to Face,0,Various,Remote: 4 x 3.5 hour sessions or in person: 2 x 7 hours sessions,Less than a week,Register on website,Not Applicable,"[""All""]","[""Mental Health Conditions""]","[""Mental Health First Aid""]",https://mentalhealth-uk.org/workplace-mental-health-training-and-consultancy/,"[""Course""]",Approved,
70,Mental Health Champions,"Mental Health Champions are employees who, alongside their regular roles, actively promote mental health awareness through creative peer-led initiatives. This embedded, long-term programme drives cultural change — but to be effective, Champions must have clear role boundaries and operate within a supported network.
We provide tailored training and work with you to define Champions’ responsibilities, set up ongoing peer support, and co-create resources to bolster their initiative efforts
Modules include:

What is a champion?
Your wellbeing
What is mental health?
What is mental illness?
Supportive conversations
Stigma and discrimination
Action planning",Mental Health UK,Online or Face to Face,0,Various,Remote: 3.5 hours or in person: 4 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Mental Health Conditions""]","[""Fundamental Knowledge""]",https://mentalhealth-uk.org/workplace-mental-health-training-and-consultancy/,"[""Course""]",Approved,
71,Mental Health Awareness Programme,"This short programme aims to raise mental health awareness amongst healthcare staff. It is designed to give a broad overview of:
what encompasses mental illness, the link between mental and physical health diagnoses and outline some possible treatment options.
These sessions provide all staff working within health care with some general strategies to help support individuals who are worried about their mental health, and advice about where to find extra support.

Perinatal, Mental, Health, Emergency, Medicine, Mental, Health, Healthcare, Professionals, Mental, Health, ACPCP, maternity, midwives, midwifery, maternity support worker, MSW, neonatal",eLfH,Online,0,Free,20 mns,Less than an hour,Register on website,Certificate of completion,"[""Allied Health Professionals"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Mental Health Conditions""]","[""Fundamental Knowledge""]",https://portal.e-lfh.org.uk/Component/Details/421512,"[""Course""]",Approved,
72,Mental Health Awareness,"This entry-level course aims to shift the perspective on mental health and help delegates understand the impact they can have on people affected by mental health problems and
how they can help. It includes:

Your wellbeing
What is mental health?
What is mental illness?
Stigma and discrimination
Supportive conversations",Mental Health UK,Online or Face to Face,95,Various,4 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Mental Health Conditions""]","[""Fundamental Knowledge""]",https://mentalhealth-uk.org/workplace-mental-health-training-and-consultancy/,"[""Course""]",Approved,
73,Mental health awareness,"Offering mental health awareness training which is useful for anyone wanting to increase their knowledge of mental health. It includes:

exploring your understanding of ‘mental health’
exploring stigma and the mental health continuum
recognising signs and symptoms of mental ill health
comparing different models of mental health
the Stress Vulnerability Model
helping increase knowledge and skill in having a conversation about?mental health",MindWell,Face to Face,95,Various,4 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Mental Health Conditions""]","[""Fundamental Knowledge""]",https://mentalhealth-uk.org/workplace-mental-health-training-and-consultancy/,"[""Course""]",Approved,
74,Mental Health Aware,"This course raises awareness of mental health. It covers:

What mental health is and how to challenge stigma
A basic knowledge of some common mental health issues
An introduction to looking after your own mental health and maintaining wellbeing
Confidence to support someone in distress or who may be experiencing a mental health issue",MHFA England,Online or Face to Face,150,Paid,4 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Mental Health Conditions""]","[""Fundamental Knowledge""]",https://mhfaengland.org/individuals/adult/aware/,"[""Course""]",Approved,
75,Making Every Contact Count (MECC),"Making Every Contact Count (MECC)
Bespoke training is delivered by knowledgeable Public Health specialists in a participatory learning style and is aligned with the council’s 'working with' approach. Training is free for public sector and third sector organisations and normally last between two and three hours and requires a minimum of 10 attendees.",Leeds City Council,Face to Face,0,Free,1 hour,Less than a day,Book Via Email,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Fundamental Knowledge""]",https://www.leeds.gov.uk/phrc/public-health-training/public-health-training-for-people-working-in-leeds,"[""Course""]",Approved,
76,Making Every Contact Count (MECC),"Making Every Contact Count (MECC)
The MECC e-learning programme is designed to support learners in developing an understanding of public health and the factors that impact on a person’s health and wellbeing. It focuses on how asking questions and listening effectively to people is a vital role for us all.
A MECC interaction takes a matter of minutes and is not intended to add to existing busy workloads, rather it is structured to fit into and complement existing engagement approaches.
MECC is for everyone, it is not restricted to one person, profession or organisation.",eLfH,Online,0,Free,1 hour,Less than a day,Book Via Email,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Fundamental Knowledge""]",https://www.leeds.gov.uk/phrc/public-health-training/public-health-training-for-people-working-in-leeds,"[""Course""]",Approved,
77,Local connection referrals,"Learn about local connection referrals, including when and how a local authority can refer a homelessness applicant to another area.",Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Health Inclusion Groups""]","[""Homelessness""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/local_connection_referrals_course,"[""Course""]",Approved,
78,LGBTQ+ Inclusion,"LGBTQ+ Inclusion: This training will give a better understanding of:

Different sexual orientations
Different gender identities and expressions
The importance of using inclusive language",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""LGBTQ+""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=188,"[""Course""]",Approved,
79,LGBT Foundation Training Academy,"Our modules set the foundation for a strong, healthy and inclusive workplace – whether you’re LGBTQ+ yourself and want to see your workplace grow, or you are a business leader and want your customers and staff to have the best experience possible.",LGBT Foundation,Online or Face to Face,0,Various,various,Various,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""LGBTQ+""]",https://lgbt.foundation/help/our-training-academy/,"[""Course""]",Approved,
80,"LGB, LGBT+, HIV, Chemsex, consent, FGM, healthy relationships, risky behaviour, online safety and STI Awareness.","We offer a variety of different training programmes, including LGB, LGBT+, HIV, Chemsex, consent, FGM, healthy relationships, risky behaviour, online safety and STI Awareness.
We can tailor our LGBT+ sessions to working with young people or working with older LGBT+ people.
We are able to work with individual organisations to meet your specific needs to ensure you get the most out of your training experience.
Training sessions are either 2hrs, 3hrs or full days.",MESMAC,Online or Face to Face,0,Various,various,Various,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""LGBTQ+""]",https://www.mesmac.co.uk/training,"[""Course""]",Approved,
81,Let’s Talk About Women…,"This innovative session will explore issues relating to women when considering accessing drug and alcohol treatment services.

The evidence around women’s drug and alcohol use
Stigma and barriers
Access to treatment
Hormones and pregnancy
Motherhood and childcard
Women and intermate relationships
Considerations for change
What support is available in Leeds",Forward Leeds,Online,0,Free,0,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs""]",https://www.forwardleeds.co.uk/get-help/training/lets-talk-about-women/,"[""Course""]",Approved,
82,Leeds Health and Wellbeing Training Programme,"Leeds Health and Wellbeing Training Programme
The course covers the elements and theory of public health, enabling you to understand and deliver the challenging public health agenda.
On this course, you will gain:

an understanding of the history of public health and key concepts and models
an increased awareness and understanding of health inequalities
knowledge on the principles and importance of partnership working
the confidence and skills to search, understand and use data
an understanding of the importance of community development approaches and health needs assessments
an understanding of behaviour change models and principles
knowledge and understanding of evaluation methods and how to incorporate this into practice
time to reflect on your personal effectiveness and learn tools for time management
the opportunity to explore current issues and reflect on your personal practice
awareness of the Public Health Resource Centre and other public health training opportunities",Leeds City Council,Face to Face,80,Paid,"10 weeks, full day sessions",More than a week,Book Via Email,RSPH Accredited,"[""All""]","[""Health Promotion"", ""Health Protection"", ""Wider social determinants of Health""]","[""0""]",https://www.leeds.gov.uk/phrc/public-health-training/leeds-health-and-wellbeing-training-programme,"[""Course""]",Approved,
83,Leading Transformation for Integrated Care,"This development series is based on insights and experience drawn from work with a number of Integrated Care Systems across England. It will explore what partnership working looks like across teams and organisations. What does this mean for leaders? It is co-designed with input from with the NHSLA and local representatives to understand their current challenges and opportunities.
Who leads in a system?
Improving the health of our local communities
Leading alongside your local communities
Rethinking recovery – a systems perspective
Collaborating within your neighbourhood
System Workforce Innovation",NHS NEY Leadership Academy,Online,0,Free,6 hours,Less than a day,Register on website,Not Applicable,"[""Manager"", ""Line Manager"", ""Team Leaders""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Community led services"", ""Neighbourhood""]",https://northeast.leadershipnhs.uk/,"[""Course""]",Approved,
84,Leading for health equity,"Leading for health equity

Understand the basics of good leadership
Have awareness and confidence of what you can bring as a leader
Understand the basics of good leadership
Have awareness and confidence of what you can bring as a leader
Understand the basics of good leadership. Have explored what might be holding you back as a leader and how you can overcome this
Start to think about ways in which you can work with your local team and community to be able to make meaningful changes within your system
Think about specifics things you might want to think about as a leader trying to tackling health inequity",Fairhealth,Online,0,Free,60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Leadership""]",https://www.fairhealth.org.uk/course/leading-for-health-equity,"[""Course""]",Approved,
85,Ketamine Awareness Training,"Aim:
Gain a better understanding of current issues around ketamine, it’s use, risks and what support is available.
Objectives:

Greater awareness of the recreational use of ketamine.
Demographics of who is using ket and the risks involved.
Harm reduction advice for using.
Support services for users",Forward Leeds,Online,0,Free,3 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Illicit Drugs""]",https://www.forwardleeds.co.uk/get-help/training/new-ketamine-awareness-training/,"[""Course""]",Approved,
86,Introduction to Violence Prevention and Reduction,"This course offers practical guidance on public health approaches to violence prevention and reduction. By the end of the course learners will:

Identify the key policy and legislative drivers for violence prevention and reduction in the workplace.
Understand and describe the individual, situational and environmental factors that can cause violence.
Describe how using public health and trauma informed approaches can prevent violence at individual and community level.
Explore a range of best practice approaches that can be used by individuals, teams and organisations to minimise the risk or impact of violence.",Royal Society for Public Health,Online,30,Paid,1 hour,Less than an hour,Register on website,CPD Credits,"[""All""]","[""Environmental Health"", ""Wider social determinants of Health""]","[""crime"", ""Violence prevention and reduction""]",https://www.rsph.org.uk/qualifications-training/online-courses/introduction-to-violence-prevention-and-reduction/,"[""Course""]",Approved,
87,Introduction to Trauma and Trauma-Informed Support,"Summary: This 2 ½ -hour live CPD-certificated session gives an understanding of the causes and effects of trauma on individuals and how this can inform support.
You will learn:
• how both ""big T"" and ""small T"" events can cause trauma
• immediate and long-term effects of trauma on the brain and body
• how clients you work with may behave as a result of their trauma
• how this understanding can help you support service users and clients
• principles and examples of good trauma-informed practice",Behind Closed Doors,Online,300,Paid,2 1/2 hrs,Less than a day,Book Via Email,Introductory,"[""All""]","[""Mental Health Conditions""]","[""Trauma""]",https://behind-closed-doors.org.uk/training/domestic-abuse-training/,"[""Course""]",Approved,
88,Introduction to possession proceedings for rented housing,Get an introduction to the possession and eviction process for tenants in rented housing.,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/possession_and_eviction/possession_proceedings_rented_housing_course,"[""Course""]",Approved,
89,Introduction to Migration,"Recognise different types of migrant groups and different routes of entry to the UK
Interpret the patterns of migration in the local area and the region and the impact this has
Identify some of the key current issues relating to migration
Understand some of the challenges that can affect migrants and communities with migrants and how organisations may respond to some of these challenges",Migration Yorkshire,Online or Face to Face,900,Paid,2.5 (online) or 3.5 (in person),Less than a day,Book Via Email,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Asylum Seekers"", ""Migration"", ""Refugees""]",https://www.migrationyorkshire.org.uk/news/introduction-migration-training,"[""Course""]",Approved,
90,Introduction to housing conditions and disrepair,Get an introduction to the rules on disrepair and housing conditions in rented properties.,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/housing_conditions/housing_conditions_and_disrepair_introduction_course,"[""Course""]",Approved,
91,Introduction to Health Protection training,"At this training you will get bitesize information and take part in interactive activities on a range of health protection topics which could include:

adverse weather and the home environment
air quality
antimicrobial resistance (AMR)
infectious diseases such as Tuberculosis
infection prevention measures
life course vaccinations
parasites
sepsis",Leeds City Council,Online or Face to Face,0,Free,TBC,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Protection""]","[""Fundamental Knowledge""]",https://www.leeds.gov.uk/phrc/public-health-training/public-health-training-for-people-working-in-leeds,"[""Course""]",Approved,
92,Introduction to financial capability and debt advice,"Introduction to financial capability and debt advice
This course covers the positives and negatives of all debt relief options, money management techniques and government assistance in response to the cost of living crisis.",Shelter,Online,110,Paid,half day,Less than a day,Register on website,Not Applicable,"[""All""]","[""Wider social determinants of Health""]","[""Finance""]",https://england.shelter.org.uk/professional_resources/shelter_training/debt/financial_capability_debt_advice_course,"[""Course""]",Approved,
93,Introduction to eligibility for housing assistance,"Introduction to eligibility for housing assistance
Get an overview of housing and homelessness eligibility rules for British nationals, EEA nationals, or people from outside the UK or EEA.",Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/introduction_eligibility_housing_course,"[""Course""]",Approved,
94,Introducing health inequalities in primary care,"1. Describe the concepts of health inequalities, health equity, and explain the ‘Inverse Care Law’.
2. Understand the social determinants of health and the role of healthcare in determining health outcomes
3. Consider the place of primary care in reducing health inequity.",Fairhealth,Online,0,Free,45-60 mins,Less than an hour,Register on website,Certificate of completion,"[""Allied Health Professionals"", ""Community work and engagement"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Health Inequalities""]","[""health Inequalities"", ""Primary Care""]",https://www.fairhealth.org.uk/course/an-intro-to-hi,"[""Course""]",Approved,
95,Inclusive Leadership,"This course will give a better understanding of:

the benefits of being an inclusive organisation
the key traits of inclusive leadership
the skills necessary to become an inclusive leader
why inclusive leaders and inclusive teams are more effective
how to build an inclusive culture
the importance of building inclusive relationships
how tackling the impact of unconscious bias in the workplace leads to better decision-making.",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Workforce""]","[""Inclusion""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=35,"[""Course""]",Approved,
96,Inclusive Language and Communication,"why language and communication are key to creating an inclusive working culture
how exclusive language can impact on relationships, recruitment and motivation
the importance of using respectful language when dealing with people from marginalised or minority groups
why our micro-messages play such a crucial role in inclusive communication.",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Inclusive Language""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=39,"[""Course""]",Approved,
97,Inclusion health groups,"Inclusion health groups
This module aims to support GP practice staff to fully understand primary care entitlement and improve access for everyone in your local communities.",Training Doctors of the World,Online,0,Free,NA,Less than a week,Register on the Safe Surgeries Website,Certificate of completion,"[""Allied Health Professionals"", ""Community work and engagement"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Health Inclusion Groups""]","[""Safe Surgeries""]",https://training.doctorsoftheworld.org.uk/catalog/info/id:131,"[""Course""]",Approved,
98,Inclusion essentials,"Inclusion essentials

what we mean by an inclusive organisation
the key benefits for organisations and employers who adopt inclusive policies
the various characteristics and minority groups who are at risk from exclusion in the workplace and beyond, and the specific challenges that they may encounter
how to take an inclusive approach that supports all people and makes them feel invested in the team and the organisation
best-practice solutions and strategies to create an inclusive working environment.",Leeds Health and Care Academy,Online,0,Free,90 mins,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Inclusion Health - Basic""]",https://leedshealthandcarelearningportal.org/course/view.php?id=47,"[""Course""]",Approved,
99,"Identifying, Supporting and Protecting Girls and Women from FGM and breast flattening",Aim: To enhance the understanding and skills of all professionals to act appropriately and confidently to protect and support girls who are at risk or have been subjected to FGM and/or breast flattening.,National FGM Centre,Face to Face,695,Paid,1/2 day and full day,Less than a day,Register on website,CPD Credits,"[""All""]","[""Safeguarding""]","[""Breast Flattening"", ""Female Genital Mutilation""]",https://nationalfgmcentre.org.uk/wp-content/uploads/2022/09/NFGMC-Training-Booklet.pdf,"[""Course""]",Approved,
100,How to establish local connection,"Learn how an applicant can establish a local connection in a homeless application, through residence, employment, family, or other special circumstances.",Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Health Inclusion Groups""]","[""Homelessness""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/how_to_establish_local_connection_course,"[""Course""]",Approved,
101,How to challenge,"This training will give a better understanding of:
*the importance of being able to challenge effectively
*the sort of things we might need to challenge in the workplace
*why we may be reluctant to challenge
*how challenging can support engagement and motivation
*techniques and strategies for mounting an effective challenge
*how to say no and refuse requests that we cannot accommodate
*how to prepare for a challenge.",Leeds Health and Care Academy,Online,0,Free,50 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Culture""]","[""Workplace Culture""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=90,"[""Course""]",Approved,
102,How social housing is allocated,Get an overview of how social housing allocations work.,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/housing_options/how_social_housing_is_allocated_course,"[""Course""]",Approved,
103,Housing law and advice foundation (Part B),"Housing law and advice foundation (Part B)
This in-depth course covers landlord and tenant law, challenging homelessness decisions, disrepair, harassment, illegal eviction, and domestic abuse.
You’ll learn to identify assignment and succession rights of different tenancy types, advise clients on how to challenge homelessness decisions, and understand the occupation rights of people affected by domestic abuse.",Shelter,Online,340,Paid,4 sessions 2.5 hours each,Less than a week,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/housing_law_and_advice_foundation/housing_law_foundation_b_course,"[""Course""]",Approved,
104,Housing duties to young people,Get an overview of the main housing duties owed to young people aged between 16 and 24.,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/housing_options/housing_duties_to_young_people_course,"[""Course""]",Approved,
105,Houses in multiple occupation mandatory licenses,Get an overview of house in multiple occupation (HMO) mandatory licencing rules in the private rented sector.,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/housing_conditions/houses_in_multiple_occupation_mandatory_licenses_course,"[""Course""]",Approved,
